Congruent,Incongruent,,Squared diviation?,Squared diviation(i),,,,,,,,,,,
12.079,19.278,,3.889277016,7.496187674,,,,,,,,,,,
16.791,18.741,,7.506915016,10.72507917,,,,,,,,,,,
9.564,21.214,,20.13429077,0.64307034,,,,,,,,,,,
8.63,15.687,,29.38859627,40.05518617,,,,,,,,,,,
14.669,22.803,,0.381769516,0.619500174,,,,,,,,,,,
12.238,20.878,,3.287422266,1.29485434,,,,,,,,,,,
14.692,24.572,,0.410720766,6.533562007,,,,,,,,,,,
8.987,17.394,,25.64536202,21.36211367,,,,,,,,,,,
9.401,20.762,,21.62366252,1.572307007,,,,,,,,,,,
14.48,26.282,,0.183933766,18.19946701,,,,,,,,,,,
22.328,24.524,,68.50665977,6.290482007,,,,,,,,,,,
15.298,18.644,,1.554697266,11.36982201,,,,,,,,,,,
15.073,17.51,,1.044228516,20.30328501,,,,,,,,,,,
16.929,20.33,,8.282164516,2.842315007,,,,,,,,,,,
18.2,35.255,,17.21316377,175.2733275,,,,,,,,,,,
12.13,22.158,,3.690721266,0.020187674,,,,,,,,,,,
18.495,25.139,,19.74802502,9.753649507,,,,,,,,,,,
10.639,20.429,,11.64259702,2.518304507,,,,,,,,,,,
11.344,17.425,,7.328525766,21.07651584,,,,,,,,,,,
12.369,34.288,,2.829544516,150.6040293,,,,,,,,,,,
12.944,23.894,,1.225725766,3.527197007,,,,,,,,,,,
14.233,17.96,,0.033078516,16.45046001,,,,8.63,15.687,,1,0,0.000102886,0,3.80386E-06
19.71,22.058,,32.02286627,0.001771007,,,,8.987,17.394,,2,0,0.000289278,0,9.64385E-06
16.004,21.157,,3.813720766,0.73773784,,,,9.401,17.425,,3,0,0.00074904,0,2.33659E-05
,,,,,,,,9.564,17.51,,4,0,0.001786172,0,5.41031E-05
Nc,Ni,Df,,t-critical,,,,10.639,17.96,,5,0,0.003922576,0,0.00011972
25,25,48,,1.677,,,,11.344,18.644,,6,0,0.007933209,0,0.000253175
Dfc,Dfi,,,t-statistic,,,,12.079,18.741,,7,0,0.014775971,0,0.000511657
24,24,,,6.810341984,,,,12.13,19.278,,8,0,0.025345024,0,0.000988201
Xc,Xi,,,,,,,12.238,20.33,,9,2,0.04003676,0,0.001823971
14.051125,22.01591667,,,,,,,12.369,20.429,,10,2,0.058244472,0,0.003217342
Sc,Si,,,,,,,12.944,20.762,,11,1,0.078033313,0,0.005423546
3.484415713,4.696055135,,,,,,,14.233,20.878,,12,1,0.096279745,0,0.008737278
SE,,,,,,,,14.48,21.157,,13,5,0.109400515,0,0.013451654
1.169514201,,,,,,,,14.669,21.214,,14,0,0.114480984,0,0.019791649
,,,,,,,,14.692,22.058,,15,4,0.110325752,0,0.027828833
,,,,,,,,15.073,22.158,,16,2,0.097915171,1,0.037395103
,,,,,,,,15.298,22.803,,17,3,0.080029965,0,0.048022105
,,,,,,,,16.004,23.894,,18,0,0.060239981,4,0.058935148
,,,,,,,,16.791,24.524,,19,2,0.041758662,2,0.069121681
,,,,,,,,16.929,24.572,,20,1,0.026658633,1,0.077474884
,,,,,,,,18.2,25.139,,21,0,0.015673238,4,0.082987808
,,,,,,,,18.495,26.282,,22,0,0.008486119,2,0.084952152
,,,,,,,,19.71,34.288,,23,1,0.004231449,3,0.083107688
,,,,,,,,22.328,35.255,,24,0,0.001943115,1,0.077698876
,,,,,,,,,,,25,0,,2,0.069421661
,,,,,,,,,,,26,0,,1,0.059276424
,,,,,,,,,,,27,0,,1,0.048369958
,,,,,,,,,,,28,0,,0,0.037720388
,,,,,,,,,,,29,0,,0,0.028111454
,,,,,,,,,,,30,0,,0,0.020021527
,,,,,,,,,,,31,0,,0,0.013627551
,,,,,,,,,,,32,0,,0,0.008864315
,,,,,,,,,,,33,0,,0,0.005510351
,,,,,,,,,,,34,0,,0,0.003273558
,,,,,,,,,,,35,0,,1,0.001858521
,,,,,,,,,,,36,0,,1,0.001008374
,,,,,,,,,,,37,0,,0,0.000522857
